[  0%] Building CXX object scratch/CMakeFiles/scratch_renoJtest.dir/renoJtest.cc.o
[  0%] Linking CXX executable "/home/nidhi/BUET /LABS/BUET-ACADEMICS/3-2 Sessionals/CSE 322/ns-allinone-3.45/ns-3.45/build/scratch/ns3.45-renoJtest-default"
0.02856	5360
1.56752	4824
1.94512	4556
2.03952	4288
2.13392	4020
2.22832	3752
2.32272	3484
2.41584	2144
2.41584	2278
2.60464	2404
2.79344	2523
2.98224	2636
3.17104	2744
3.54992	2323
3.64432	2502
3.73872	2323
3.83312	2144
3.92624	1072
3.92624	1340
4.11504	1554
4.30384	1738
4.51128	1903
4.70008	2053
4.88888	2192
5.07768	2323
5.26648	2446
5.45528	2563
5.64408	2675
5.83288	2782
6.02168	2885
6.21048	2984
6.39928	3080
6.58808	3173
6.77688	3263
6.96568	3351
7.15448	3436
7.34328	3519
7.53208	3600
7.72088	3679
7.90968	3757
8.38296	3216
8.66616	2948
8.76056	2680
8.90968	536
8.94808	1072
9.94808	536
Total Bytes Received: 48240
