0.011856	5360
0.174752	4824
0.212512	4556
0.221952	4288
0.231392	4020
0.240832	3752
0.250272	3484
0.259584	2144
0.259584	2278
0.278464	2404
0.297344	2523
0.316224	2636
0.335104	2744
0.372992	2323
0.382432	2502
0.391872	2323
0.401312	2144
0.410624	1072
0.410624	1340
0.429504	1554
0.449808	1738
0.479552	1903
0.499856	2053
0.52016	2192
0.540464	2323
0.559344	2446
0.578224	2563
0.597104	2675
0.615984	2782
0.634864	2885
0.653744	2984
0.672624	3080
0.691504	3173
0.710384	3263
0.729264	3351
0.748144	3436
0.767024	3519
0.785904	3600
0.804784	3679
0.823664	3757
0.870992	3216
0.899312	2948
0.908752	2680
0.927504	2412
0.937072	2144
0.946512	1876
0.955952	1340
1.9275	536
1.94781	1072
1.97755	1340
2.19786	1554
3.19786	536
3.41816	1072
3.4479	1340
3.47765	1554
3.50739	1738
3.53714	1903
3.55744	2053
3.57774	2192
3.59805	2323
3.61693	2446
3.63581	2563
3.65469	2675
3.67357	2782
3.69245	2885
3.71133	2984
3.73021	3080
3.74909	3173
3.76797	3263
3.78685	3351
3.80573	3436
3.82461	3519
3.84349	3600
3.86237	3679
3.88125	3757
3.90013	3833
3.91901	3907
3.93789	3980
3.95677	4052
3.97565	4122
3.99453	4191
4.01341	4259
4.03229	4326
4.05117	4392
4.07005	4457
4.08893	4521
4.10781	4584
4.12669	4646
4.14557	4707
4.16445	4768
4.18333	4828
4.20221	4887
4.22109	4945
4.23997	5003
4.25885	5060
4.29674	4288
4.34406	4020
4.3535	3216
4.36294	2948
4.37226	2680
4.3817	2412
4.39114	1876
4.40989	2029
4.42877	2170
4.44907	2302
4.46795	2426
4.48683	2544
4.50571	2656
4.52459	2764
4.54347	2867
4.56235	2967
4.58123	3063
4.60011	3156
4.61899	3247
4.63787	3335
4.65675	3421
4.67563	3504
4.69451	3585
4.71339	3665
4.73227	3743
4.75115	3819
4.77003	3894
4.78891	3967
4.8268	3216
4.85512	2948
4.86456	2680
4.874	2412
4.88331	1340
4.88331	1554
4.90219	1738
4.9225	1903
4.9428	2053
4.9631	2192
4.98341	2323
5.00229	2446
5.02117	2563
5.04005	2675
5.05893	2782
5.07781	2885
5.09669	2984
5.11557	3080
5.13445	3173
5.15333	3263
5.17221	3351
5.19109	3436
5.20997	3519
5.22885	3600
5.24773	3679
5.26661	3757
5.28549	3833
5.30437	3907
5.32325	3980
5.34213	4052
5.38946	3216
5.42734	2948
5.43678	2680
5.4461	2412
5.45554	1608
5.46498	1340
5.49472	1554
5.51502	1738
5.54477	1903
5.56507	2053
5.58538	2192
5.60568	2323
5.62456	2446
5.64344	2563
5.66232	2675
5.70021	1608
5.70965	1072
5.7284	1340
5.78982	536
5.81013	1072
5.81013	1340
5.83987	1554
5.86962	1738
5.89936	1903
5.91966	2053
5.93997	2192
5.97928	1608
5.98872	1072
6.00747	1340
6.21846	1554
7.21846	536
7.23877	1072
7.26851	1340
7.29826	1554
7.328	1738
7.35774	1903
7.41749	1072
7.43779	1340
7.49922	536
7.51952	1072
7.51952	1340
7.54926	1554
7.57901	1738
7.60875	1903
7.62906	2053
7.64936	2192
7.66966	2323
7.68854	2446
7.70742	2563
7.7563	1608
7.76574	1072
7.7845	1340
7.80493	1554
7.83467	1738
7.86442	1903
7.88472	2053
7.90502	2192
7.92533	2323
7.94421	2446
7.99309	1608
8.00253	1072
8.02128	1340
8.04171	1554
8.11245	536
8.13275	1072
8.13275	1340
8.1625	1554
8.19224	1738
8.22198	1903
8.24229	2053
8.26259	2192
8.2829	2323
8.30178	2446
8.32066	2563
8.33954	2675
8.35842	2782
8.3773	2885
8.39618	2984
8.41506	3080
8.43394	3173
8.45282	3263
8.50014	2680
8.51902	2412
8.52846	2144
8.5379	1876
8.54722	1072
8.54722	1340
8.5661	1554
8.59584	1738
8.62558	1903
8.64589	2053
8.70563	1072
8.72594	1340
8.74637	1554
8.77611	1738
8.80586	1903
8.82616	2053
8.86702	1072
8.88733	1340
8.90763	1554
8.93738	1738
8.96712	1903
8.98742	2053
9.19686	2192
9.23773	1072
9.26747	1340
9.2879	1554
9.31765	1738
9.34739	1903
9.3677	2053
9.40856	1072
9.42886	1340
9.44917	1554
9.47891	1738
9.50866	1903
9.5684	1072
9.5887	1340
9.60914	1554
9.67987	536
Total Bytes Received: 285152
