[  0%] Building CXX object scratch/CMakeFiles/scratch_renoJtest.dir/renoJtest.cc.o
[  0%] Linking CXX executable "/home/nidhi/BUET /LABS/BUET-ACADEMICS/3-2 Sessionals/CSE 322/ns-allinone-3.45/ns-3.45/build/scratch/ns3.45-renoJtest-default"
0.0101856	5360
0.0380096	4824
0.043376	4556
0.04432	4288
0.0471648	4020
0.0481088	3752
0.0490528	3484
0.049984	2144
0.049984	2278
0.051872	2404
0.0553504	2523
0.0629024	2636
0.0673248	2744
0.079312	2323
0.080256	2502
0.0859328	2323
0.0894112	2144
0.0903424	1072
0.0903424	1340
0.0969632	1554
0.107994	1738
0.119968	1903
0.130998	2053
0.142029	2192
0.153059	2323
0.154947	2446
0.165034	2563
0.166922	2675
0.177008	2782
0.178896	2885
0.188982	2984
0.19087	3080
0.200013	3173
0.201901	3263
0.211043	3351
0.212931	3436
0.214819	3519
0.223018	3600
0.224906	3679
0.226794	3757
0.237837	3216
0.246992	2948
0.247936	2680
0.249811	2412
0.250768	2144
0.251712	1876
0.258979	1340
1	385.92
1.24981	536
1.26084	1072
1.27282	1340
1.48385	1554
1.5	42.88
2	0
2.48385	536
2.5	4.288
2.69488	1072
2.70685	1340
2.71883	1554
2.7308	1738
2.74277	1903
2.7538	2053
2.76484	2192
2.77587	2323
2.77775	2446
2.78784	2563
2.78973	2675
2.79981	2782
2.8017	2885
2.81179	2984
2.81368	3080
2.82282	3173
2.82471	3263
2.83385	3351
2.83574	3436
2.83763	3519
2.84582	3600
2.84771	3679
2.8496	3757
2.8578	3833
2.85969	3907
2.86157	3980
2.86883	4052
2.87072	4122
2.8726	4191
2.87986	4259
2.88175	4326
2.88364	4392
2.89089	4457
2.89278	4521
2.89467	4584
2.89655	4646
2.90286	4707
2.90475	4768
2.90664	4828
2.90853	4887
2.91484	4945
2.91673	5003
2.91861	5060
2.92588	4288
2.93061	4020
2.93157	3216
2.93252	2948
2.93692	2680
2.93787	2412
2.93881	1876
2.9426	2029
2.95174	2170
2.96277	2302
2.96466	2426
2.97475	2544
2.97664	2656
2.98672	2764
2.98861	2867
2.9987	2967
3	501.696
3.00059	3063
3.00973	3156
3.01162	3247
3.02076	3335
3.02265	3421
3.02453	3504
3.03273	3585
3.03462	3665
3.03651	3743
3.04471	3819
3.0466	3894
3.04848	3967
3.05858	3216
3.06141	2948
3.06774	2680
3.06868	2412
3.06961	1340
3.06961	1554
3.0715	1738
3.08253	1903
3.09356	2053
3.10459	2192
3.11562	2323
3.11751	2446
3.1276	2563
3.12948	2675
3.13957	2782
3.14146	2885
3.15155	2984
3.15343	3080
3.16258	3173
3.16446	3263
3.17361	3351
