0.02856	5360
0.15024	5896
0.33904	6968
0.52784	8040
0.71664	9112
0.90544	10184
1.09424	11256
1.56752	10974
1.66192	11228
1.75632	11482
1.85072	11736
1.94512	11990
2.03952	12244
2.13392	12498
2.22832	12752
2.32272	13006
2.41712	13259
2.51152	13118
2.60592	12977
2.70032	12836
2.79472	12695
2.88912	12554
2.98352	12413
3.07792	12272
3.17232	12131
3.3624	11990
3.38147	536
3.45552	1072
5.71984	2144
5.92728	3216
6.11608	4288
6.30488	5360
6.49368	6432
6.68248	7504
6.87128	8576
7.24888	9112
7.62648	9648
8.00408	10184
8.38296	9932
8.47736	10216
8.57176	10500
8.66616	10784
8.76056	11067
8.95064	11351
9.04504	11635
9.13944	11383
9.23384	11666
9.32824	11540
9.51832	11414
9.61272	11288
9.80152	10626
9.89592	10500
9.99032	9838
Total Bytes Received: 43416
